date,death
20200229,0
20200301,0
20200302,0
20200303,0
20200304,0
20200305,0
20200306,0
20200307,0
20200308,0
20200309,0
20200310,0
20200311,0
20200312,0
20200313,1
20200314,1
20200315,1
20200316,1
20200317,1
20200318,2
20200319,4
20200320,5
20200321,8
20200322,8
20200323,8
20200324,8
20200325,8
20200326,9
20200327,15
20200328,18
20200329,21
20200330,22
20200331,23
20200401,29
20200402,30
20200403,31
20200403,31
20200404,31
20200405,36
20200406,41
20200407,44
20200408,46
20200409,52
20200410,54
20200411,62
20200412,66
20200413,69
20200414,69
20200415,69
20200416,69
